default,housing,loan,pdays,job,marital,education,contact,poutcome,age,balance,day,month,duration,campaign,previous,y
0,1,0,0,management,married,tertiary,unknown,unknown,58,2143,5,5,261,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,44,29,5,5,151,1,0,0
0,1,1,0,entrepreneur,married,secondary,unknown,unknown,33,2,5,5,76,1,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,47,1506,5,5,92,1,0,0
0,0,0,0,unknown,single,unknown,unknown,unknown,33,1,5,5,198,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,35,231,5,5,139,1,0,0
0,1,1,0,management,single,tertiary,unknown,unknown,28,447,5,5,217,1,0,0
1,1,0,0,entrepreneur,divorced,tertiary,unknown,unknown,42,2,5,5,380,1,0,0
0,1,0,0,retired,married,primary,unknown,unknown,58,121,5,5,50,1,0,0
0,1,0,0,technician,single,secondary,unknown,unknown,43,593,5,5,55,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,41,270,5,5,222,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,29,390,5,5,137,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,53,6,5,5,517,1,0,0
0,1,0,0,technician,married,unknown,unknown,unknown,58,71,5,5,71,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,57,162,5,5,174,1,0,0
0,1,0,0,retired,married,primary,unknown,unknown,51,229,5,5,353,1,0,0
0,1,0,0,admin.,single,unknown,unknown,unknown,45,13,5,5,98,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,57,52,5,5,38,1,0,0
0,1,0,0,retired,married,primary,unknown,unknown,60,60,5,5,219,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,33,0,5,5,54,1,0,0
0,1,1,0,blue-collar,married,secondary,unknown,unknown,28,723,5,5,262,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,56,779,5,5,164,1,0,0
0,1,1,0,blue-collar,single,primary,unknown,unknown,32,23,5,5,160,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,25,50,5,5,342,1,0,0
0,1,1,0,retired,married,primary,unknown,unknown,40,0,5,5,181,1,0,0
0,1,0,0,admin.,married,secondary,unknown,unknown,44,-372,5,5,172,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,39,255,5,5,296,1,0,0
0,1,1,0,entrepreneur,married,secondary,unknown,unknown,52,113,5,5,127,1,0,0
0,1,0,0,management,single,secondary,unknown,unknown,46,-246,5,5,255,2,0,0
0,1,1,0,technician,single,secondary,unknown,unknown,36,265,5,5,348,1,0,0
0,0,1,0,technician,married,secondary,unknown,unknown,57,839,5,5,225,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,49,378,5,5,230,1,0,0
0,1,1,0,admin.,married,secondary,unknown,unknown,60,39,5,5,208,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,59,0,5,5,226,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,51,10635,5,5,336,1,0,0
0,1,0,0,technician,divorced,secondary,unknown,unknown,57,63,5,5,242,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,25,-7,5,5,365,1,0,0
0,0,0,0,technician,married,secondary,unknown,unknown,53,-3,5,5,1666,1,0,0
0,1,0,0,admin.,divorced,secondary,unknown,unknown,36,506,5,5,577,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,37,0,5,5,137,1,0,0
0,1,0,0,services,divorced,secondary,unknown,unknown,44,2586,5,5,160,1,0,0
0,1,0,0,management,married,secondary,unknown,unknown,50,49,5,5,180,2,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,60,104,5,5,22,1,0,0
0,1,0,0,retired,married,secondary,unknown,unknown,54,529,5,5,1492,1,0,0
0,1,0,0,retired,married,unknown,unknown,unknown,58,96,5,5,616,1,0,0
0,1,0,0,admin.,single,primary,unknown,unknown,36,-171,5,5,242,1,0,0
0,1,0,0,self-employed,married,tertiary,unknown,unknown,58,-364,5,5,355,1,0,0
0,1,0,0,technician,married,secondary,unknown,unknown,44,0,5,5,225,2,0,0
0,0,0,0,technician,divorced,secondary,unknown,unknown,55,0,5,5,160,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,29,0,5,5,363,1,0,0
0,1,0,0,blue-collar,married,secondary,unknown,unknown,54,1291,5,5,266,1,0,0
0,1,0,0,management,divorced,tertiary,unknown,unknown,48,-244,5,5,253,1,0,0
0,1,0,0,management,married,tertiary,unknown,unknown,32,0,5,5,179,1,0,0
0,1,0,0,admin.,single,secondary,unknown,unknown,42,-76,5,5,787,1,0,0
0,1,1,0,technician,single,secondary,unknown,unknown,24,-103,5,5,145,1,0,0
0,0,1,0,entrepreneur,single,tertiary,unknown,unknown,38,243,5,5,174,1,0,0
0,1,0,0,management,single,tertiary,unknown,unknown,38,424,5,5,104,1,0,0
0,1,0,0,blue-collar,married,unknown,unknown,unknown,47,306,5,5,13,1,0,0
0,1,0,0,blue-collar,single,unknown,unknown,unknown,40,24,5,5,185,1,0,0
0,1,0,0,services,married,primary,unknown,unknown,46,179,5,5,1778,1,0,0
0,1,0,0,admin.,married,tertiary,unknown,unknown,32,0,5,5,138,1,0,0
0,1,0,0,technician,divorced,secondary,unknown,unknown,53,989,5,5,812,1,0,0
0,1,0,0,blue-collar,married,primary,unknown,unknown,57,249,5,5,164,1,0,0
0,1,0,0,services,married,secondary,unknown,unknown,33,790,5,5,391,1,0,0
